Point Number,x-coordinate [mm],y-coordinate [mm],z-coordinate [mm]
1,0,0,0
2,1366,4142,7099
3,477,3952,8006
4,230,3069,8905
5,69,1942,9548
6,0,661,9800
7,0,-661,9800
8,69,-1942,9548
9,230,-3609,8905
10,477,-3952,8006
11,1366,-4142,7099
12,1801,-3947,8024
13,2057,-3135,9059
14,2145,-1979,9698
15,2200,-666,9843
16,2200,666,9843
17,2145,1979,9698
18,2057,3135,9059
19,1801,3947,8024
20,819,4129,7091
21,819,-4129,7091
22,238,0,1047
23,659,1209,2981
24,1203,1646,5416
25,1555,2905,6932
26,1594,1386,7169
27,659,-1209,2981
28,1203,-1646,5416
29,1555,-2906,6932
30,1594,-1386,7169
31,88,1762,5223
32,181,2713,6733
33,63,1499,7391
34,88,-1762,5223
35,181,-2713,6733
36,63,-1499,7391
